minute,pass_length,pass_outcome,second,shot_body_part,shot_outcome,team
0,0.0,N/A,0,N/A,N/A,Levante UD
0,0.0,N/A,0,N/A,N/A,Eibar
0,0.0,N/A,0,N/A,N/A,Levante UD
0,0.0,N/A,0,N/A,N/A,Eibar
45,0.0,N/A,0,N/A,N/A,Eibar
45,0.0,N/A,0,N/A,N/A,Levante UD
0,7.3,Complete,0,N/A,N/A,Eibar
0,3.9,Complete,0,N/A,N/A,Eibar
0,30.1,Complete,4,N/A,N/A,Eibar
0,35.2,Complete,7,N/A,N/A,Eibar
0,29.6,Complete,13,N/A,N/A,Eibar
0,20.4,Out,20,N/A,N/A,Eibar
0,10.3,Complete,35,N/A,N/A,Levante UD
0,5.7,Complete,36,N/A,N/A,Levante UD
0,25.9,Complete,37,N/A,N/A,Levante UD
0,41.6,Complete,40,N/A,N/A,Levante UD
0,14.6,Complete,45,N/A,N/A,Levante UD
1,24.6,Incomplete,3,N/A,N/A,Eibar
1,10.4,Incomplete,6,N/A,N/A,Levante UD
1,10.5,Complete,7,N/A,N/A,Eibar
1,10.7,Incomplete,8,N/A,N/A,Eibar
1,9.2,Out,9,N/A,N/A,Levante UD
1,18.6,Complete,19,N/A,N/A,Eibar
1,40.5,Incomplete,24,N/A,N/A,Eibar
1,29.4,Incomplete,29,N/A,N/A,Levante UD
1,101.0,Incomplete,44,N/A,N/A,Eibar
1,14.7,Incomplete,52,N/A,N/A,Eibar
2,10.7,Complete,13,N/A,N/A,Levante UD
2,8.0,Complete,13,N/A,N/A,Levante UD
2,13.0,Complete,14,N/A,N/A,Levante UD
2,9.0,Complete,17,N/A,N/A,Levante UD
2,8.4,Complete,18,N/A,N/A,Levante UD
2,33.2,Incomplete,20,N/A,N/A,Eibar
2,34.1,Complete,26,N/A,N/A,Levante UD
2,45.8,Incomplete,30,N/A,N/A,Levante UD
2,38.3,Complete,57,N/A,N/A,Levante UD
3,63.1,Incomplete,28,N/A,N/A,Eibar
3,10.7,Incomplete,31,N/A,N/A,Levante UD
3,18.6,Complete,33,N/A,N/A,Eibar
3,8.2,Complete,37,N/A,N/A,Eibar
3,36.8,Complete,39,N/A,N/A,Eibar
3,30.4,Unknown,43,N/A,N/A,Eibar
4,62.0,Complete,11,N/A,N/A,Levante UD
4,5.6,Incomplete,17,N/A,N/A,Eibar
4,12.2,Complete,18,N/A,N/A,Eibar
4,51.8,Complete,21,N/A,N/A,Eibar
4,13.3,Complete,25,N/A,N/A,Eibar
4,4.7,Complete,26,N/A,N/A,Eibar
4,11.9,Complete,31,N/A,N/A,Eibar
4,18.4,Incomplete,47,N/A,N/A,Eibar
4,11.8,Complete,49,N/A,N/A,Levante UD
4,9.2,Incomplete,50,N/A,N/A,Levante UD
4,50.1,Incomplete,53,N/A,N/A,Levante UD
5,21.6,Complete,4,N/A,N/A,Levante UD
5,29.8,Complete,8,N/A,N/A,Levante UD
5,21.5,Complete,13,N/A,N/A,Levante UD
5,11.1,Complete,18,N/A,N/A,Levante UD
5,23.6,Complete,22,N/A,N/A,Levante UD
5,17.9,Complete,24,N/A,N/A,Levante UD
5,16.6,Complete,33,N/A,N/A,Levante UD
5,18.4,Complete,35,N/A,N/A,Levante UD
5,40.2,Out,37,N/A,N/A,Levante UD
6,85.5,Out,6,N/A,N/A,Eibar
6,11.8,Complete,18,N/A,N/A,Levante UD
6,6.7,Complete,18,N/A,N/A,Levante UD
6,5.7,Incomplete,22,N/A,N/A,Levante UD
6,25.1,Complete,31,N/A,N/A,Eibar
6,5.5,Complete,35,N/A,N/A,Eibar
6,7.1,Complete,38,N/A,N/A,Eibar
6,38.7,Complete,39,N/A,N/A,Eibar
6,30.5,Complete,45,N/A,N/A,Eibar
6,23.4,Incomplete,50,N/A,N/A,Levante UD
6,19.2,Complete,53,N/A,N/A,Eibar
6,49.0,Complete,56,N/A,N/A,Eibar
6,18.8,Incomplete,59,N/A,N/A,Eibar
7,7.1,Complete,24,N/A,N/A,Eibar
7,64.0,Out,28,N/A,N/A,Eibar
7,10.1,Complete,47,N/A,N/A,Levante UD
7,10.3,Complete,48,N/A,N/A,Levante UD
7,32.8,Out,49,N/A,N/A,Levante UD
7,28.0,Complete,56,N/A,N/A,Eibar
7,15.3,Complete,58,N/A,N/A,Eibar
8,5.8,Incomplete,0,N/A,N/A,Eibar
8,43.1,Incomplete,26,N/A,N/A,Eibar
9,29.2,Incomplete,3,N/A,N/A,Eibar
9,12.9,Complete,20,N/A,N/A,Eibar
9,25.0,Incomplete,23,N/A,N/A,Eibar
9,10.8,Complete,24,N/A,N/A,Eibar
9,14.7,Complete,40,N/A,N/A,Eibar
9,15.5,Complete,44,N/A,N/A,Eibar
9,43.6,Complete,45,N/A,N/A,Eibar
9,14.9,Complete,47,N/A,N/A,Eibar
10,23.6,Complete,39,N/A,N/A,Levante UD
10,15.8,Complete,43,N/A,N/A,Levante UD
10,17.6,Complete,46,N/A,N/A,Levante UD
10,15.3,Complete,57,N/A,N/A,Levante UD
10,2.4,Incomplete,59,N/A,N/A,Levante UD
11,35.6,Complete,5,N/A,N/A,Levante UD
11,17.0,Incomplete,7,N/A,N/A,Levante UD
11,8.8,Complete,9,N/A,N/A,Eibar
11,28.1,Incomplete,10,N/A,N/A,Eibar
11,25.6,Incomplete,12,N/A,N/A,Levante UD
11,24.8,Incomplete,14,N/A,N/A,Eibar
11,18.2,Complete,19,N/A,N/A,Eibar
11,55.2,Complete,37,N/A,N/A,Eibar
11,15.6,Incomplete,39,N/A,N/A,Eibar
11,37.6,Incomplete,43,N/A,N/A,Levante UD
11,14.5,Incomplete,45,N/A,N/A,Eibar
11,16.7,Complete,46,N/A,N/A,Levante UD
11,16.4,Complete,59,N/A,N/A,Levante UD
12,45.0,Complete,3,N/A,N/A,Levante UD
12,13.9,Complete,6,N/A,N/A,Levante UD
12,12.5,Complete,8,N/A,N/A,Levante UD
12,26.0,Complete,11,N/A,N/A,Levante UD
12,33.7,Complete,15,N/A,N/A,Levante UD
12,36.9,Out,18,N/A,N/A,Levante UD
12,32.5,Incomplete,34,N/A,N/A,Eibar
13,37.3,Complete,41,N/A,N/A,Levante UD
13,35.2,Complete,42,N/A,N/A,Levante UD
13,22.1,Complete,45,N/A,N/A,Levante UD
13,15.6,Complete,48,N/A,N/A,Levante UD
13,25.1,Complete,52,N/A,N/A,Levante UD
13,10.9,Complete,55,N/A,N/A,Levante UD
14,14.9,Complete,2,N/A,N/A,Eibar
14,15.1,Pass Offside,3,N/A,N/A,Eibar
14,45.2,Complete,31,N/A,N/A,Levante UD
14,23.2,Complete,33,N/A,N/A,Levante UD
14,34.9,Incomplete,36,N/A,N/A,Levante UD
14,36.5,Incomplete,37,N/A,N/A,Eibar
14,29.1,Complete,44,N/A,N/A,Levante UD
14,32.0,Incomplete,47,N/A,N/A,Levante UD
14,15.9,Unknown,48,N/A,N/A,Eibar
15,27.8,Complete,5,N/A,N/A,Levante UD
15,17.7,Complete,14,N/A,N/A,Levante UD
15,24.4,Complete,15,N/A,N/A,Levante UD
15,29.7,Incomplete,20,N/A,N/A,Levante UD
15,15.1,Complete,28,N/A,N/A,Levante UD
15,12.1,Complete,30,N/A,N/A,Levante UD
15,12.1,Complete,34,N/A,N/A,Levante UD
15,34.0,Complete,38,N/A,N/A,Levante UD
16,66.4,Unknown,12,N/A,N/A,Eibar
16,13.0,Complete,22,N/A,N/A,Levante UD
16,25.2,Complete,27,N/A,N/A,Levante UD
16,47.7,Complete,31,N/A,N/A,Levante UD
16,16.2,Complete,33,N/A,N/A,Levante UD
