bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d6a62760-9403-4eb3-901f-4feea0739225,1,,,3825848,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 25824, 'name': 'Ángel Trujillo Canorea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 24}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 23970, 'name': 'José María Martín-Bejarano Serrano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 27250, 'name': 'Nabil Ghilas'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 23791, 'name': 'Víctor Casadesús Castaño'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5cf37e48-fb91-4279-84fd-2b375765081a,2,,,3825848,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 27239, 'name': 'Aleksandar Pantić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Eibar,322,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bd5a50d1-83a9-45e8-8f7f-bb07b7abdd96,3,,,3825848,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['6f0c4822-239d-4a1b-ac59-29c38490dd94'],0,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6f0c4822-239d-4a1b-ac59-29c38490dd94,4,,,3825848,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['bd5a50d1-83a9-45e8-8f7f-bb07b7abdd96'],0,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5b9c4127-bb43-4cc6-b5c6-02baaa66efb3,1604,,,3825848,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,97,Eibar,322,['2e23e366-3116-4758-ad27-1bf024c5a193'],0,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2e23e366-3116-4758-ad27-1bf024c5a193,1605,,,3825848,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,97,Eibar,322,['5b9c4127-bb43-4cc6-b5c6-02baaa66efb3'],0,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.486053,,,,,,,,,,,,31ad200d-972c-4a06-ad7c-152e65b8578c,5,,"[61.0, 40.1]",3825848,0,,True,,,1.4191909,,Left Foot,,,,"[62.1, 47.3]",,Ground Pass,,7.283543,,,,,Borja González Tomás,,,,,,Kick Off,1,From Kick Off,Adrián González Morales,6557.0,Center Attacking Midfield,2,Eibar,322,['0fb170d0-078b-4eec-bd0f-93535060bf53'],0,,,,,,,,,,,,,,,Eibar,322,00:00:00.500,Pass,
,,,,,,,,,,,,,,,,1.397421,,,,,,,,,,,,0318204e-f23e-4493-ba61-f1ab39499285,7,,"[61.2, 41.3]",3825848,0,,True,,,-2.1375256,,Right Foot,,,,"[59.1, 38.0]",,Ground Pass,,3.9115214,,,,,Daniel García Carrillo,,,,,,,1,From Kick Off,Borja González Tomás,6566.0,Center Forward,2,Eibar,322,['03874a60-1451-44b3-9403-ede0dd55dad3'],0,,,,,,,,,,,,,,,Eibar,322,00:00:00.986,Pass,
,,,,,,,,,,,,,,,,1.558912,,,,,,,,,,,,dd445101-ad1b-4de8-8ffc-b5fd3d1f976a,9,,"[49.2, 33.5]",3825848,0,,,,,2.1670938,,Right Foot,,,,"[32.3, 58.4]",,Ground Pass,,30.093521,,,,,Aleksandar Pantić,,,,,,,1,From Kick Off,Daniel García Carrillo,6775.0,Left Defensive Midfield,2,Eibar,322,['a4951807-804c-4166-9328-c636d5beed2e'],4,,,,,,,,,,,,,,,Eibar,322,00:00:04.078,Pass,
,,,,,,,,,,,,,,,,1.633776,,,,,,,,,,,,01a2c6b0-b72b-4771-aa79-fca845a41857,12,,"[32.3, 58.4]",3825848,0,,,,,-1.6305542,,Right Foot,,,,"[30.2, 23.3]",,Ground Pass,,35.162766,,,,,Mauro Javier Dos Santos,,,,,,,1,From Kick Off,Aleksandar Pantić,27239.0,Left Center Back,2,Eibar,322,['43c4d791-3f73-4620-a406-139d56b2af1f'],7,,,,,,,,,,,,,,,Eibar,322,00:00:07.214,Pass,
